Ailment,Causes,Precautions,Home Remedies
Common Cold,Viral infection and weather changes,Maintain hygiene and wash hands frequently,Steam inhalation warm fluids (Ginger tea) and rest
Cough,Respiratory irritation or viral infections,Avoid cold drinks and exposure to smoke/dust,Honey with warm water ginger tea and Tulsi leaves
Indigestion,Poor dietary habits or eating too fast,Eat smaller meals and chew slowly,Ginger tea fennel seeds (Saunf) and ajwain with warm water
Sore Throat,Infections (viral/bacterial) or irritants,Avoid cold and spicy foods,Warm salt water gargle 3 times a day and honey
Headache,Stress dehydration or eye strain,Ensure adequate sleep and stay hydrated,Apply mint (Pudina) paste on forehead and rest in a dark room
Constipation,Low fiber diet and insufficient water,Increase fiber intake and regular walking,Soaked raisins (Kishmish) at night and bananas
Joint Pain,Inflammation aging or injury,Maintain healthy weight and light exercise,Turmeric milk (Haldi doodh) and warm compress
Acidity/Gas,Spicy food or irregular eating times,Avoid lying down immediately after meals,Cold milk or chewing small piece of Ginger
Fever,Infection or inflammation,Rest and drink plenty of fluids,Giloy juice or Tulsi-Ginger decoction (Kadha)
Dehydration,Loss of fluids due to heat or diarrhea,Drink ORS or coconut water frequently,Lemon water with a pinch of salt and sugar (Shikanji)
Anemia,Lack of iron in diet,Include green leafy vegetables like spinach,Beetroot juice and pomegranate (Anar)
High Blood Pressure,Stress high salt intake or obesity,Reduce salt intake and practice Yoga,Garlic (Lahsun) cloves on empty stomach
Hair Fall,Nutrition deficiency or stress,Avoid harsh chemicals and massage scalp,Onion juice or Amla (Indian Gooseberry)
Dandruff,Dry scalp or fungal infection,Keep scalp clean and avoid sharing combs,Apply Neem oil or Lemon juice mixed with Curd
Sunburn,Overexposure to UV rays,Use sunscreen and wear full sleeves,Apply Aloe Vera gel or cold Cucumber slices
Insect Bite,Bite from mosquito bee or ant,Use repellents and wear protective clothing,Apply Sandalwood (Chandan) paste or Ice
Insomnia,Anxiety stress or caffeine,Avoid screens before bed and dark room,Warm milk with a pinch of Nutmeg (Jaiphal)
Toothache,Cavity or gum infection,Brush twice daily and avoid sweets,Apply Clove (Laung) oil to the affected tooth
Bad Breath,Poor oral hygiene or dry mouth,Tongue cleaning and regular rinsing,Chew Fennel seeds (Saunf) or Cardamom (Elaichi)
Stomach Ache,Gas acidity or infection,Avoid heavy meals and stay warm,Warm compress and Ajwain with black salt
Diabetes,Insulin resistance or genetic,Monitor sugar levels and regular exercise,Neem leaves or Karela (Bitter Gourd) juice
Cholesterol,High fat diet and lack of exercise,Avoid fried foods and trans fats,Oats and Garlic
Obesity,Overeating and sedentary lifestyle,Portion control and cardio exercise,Lemon and Honey in warm water every morning
Skin Glow,Toxins or lack of hydration,Eat fresh fruits and stay hydrated,Besan (Gram flour) and Turmeric (Haldi) face pack
